"matricula","cra"
"037119c4740aa04d14742993e4aab789","8.77418792147276"
"0402a824ba0c87f73209cdb49b5072be","7.06515497181009"
"075d778a8444ef224757557479320148","6.22100122966474"
"09b9a1b335be033c236add2ba699c13f","7.02536564832827"
"0d3c0ddcdd2a97627575c27b5d1a058a","8.17187327475603"
"107f352e7c2d881c0f5f72a4584cd8fd","7.54827414155023"
"147243a85d0a03933736ca5be42d274f","8.36883830827883"
"159b6aa56d4fb58347e5e1f73045c8bb","7.64637288318692"
"161a053166f87838c22b89ecead1c5f9","8.3225258123645"
"167eead9914ca6307124020606100a90","7.95849047218305"
"16b22ec84f789f2e36ab464d74dab33e","7.17932851938931"
"1a4b5d02314b3f74c17597406432434d","7.49635760138408"
"1d07660f3fdc968e75c9e77a530f1c25","7.42718154043497"
"206fc248476df2561156b80d7dfdfb46","7.34968394993505"
"230cd9555834d0c9dd6a7ef1235607cd","6.05665414286236"
"23db3422367b499e7edf07ea601263d3","7.17859660562539"
"2559cbb56d6bd9ae2a9a79faf9b917d2","7.8088660576127"
"2ad8c46dfac48f02f600b14be49597af","8.40902963147024"
"2e1ea697c640f71b9222b51305c12a47","8.02905927164282"
"2e7f85436b17a649439db836794ca99f","6.7433253082503"
"2ede780a7f505495ff7470f9a1ace7ff","8.27907055677544"
"3709ecb4267fcfc3dd7c9b947b85768e","6.19684403078904"
"3a50ebb85c973ce35d35dad978a18980","6.69751934506235"
"3bdf46ba6d9f3c6ba576fa19b8db362e","7.22925278712556"
"3caa5321f6a5544a6b8e66d6a0c89742","8.52278389782949"
"3ce7def773ee0e089dda056a6803adaf","7.22372697756229"
"3f2007293a7ed1cd6b46cd7a46ac2c39","8.02010517864918"
"41d917f6abdbe4ff74be287890cdb1c7","6.92595708010307"
"44faa00ceb1c6acb8b2e8c16073503f3","6.89758606048014"
"45c85c9cac6b5cdd38dc79d19eec5929","8.51181345800272"
"45f375fadefdb5d990bd452ad85fe35c","7.07360487825875"
"4623de2267341bd569fbcc1380170d5f","7.31528534208274"
"48ba8606b2b4fce750da5d4629271664","5.93750272075929"
"4addc4b9cdaeca2dc1021317fb6eecbc",NA
"4d5100679e29748ada7d72d2819d5943","7.22524599244075"
"4eae8ee1a32ee4ab9af76328273ab06e","7.41852514465628"
"50d599030ad4d1bf99761f289f090709","8.69940565404429"
"514c99f4e05b992beef4a65002cee151","6.8929396638083"
"51822c5225dddfcb7062b61b57e73727","5.45290540172136"
"51ff9443d0231e8bf51624e75027ac68","5.74892664050698"
"5301d3cbca96b572720d9f2284ff6a44","7.65267657796384"
"5836c86843e985605b6a8057e9c8f3a6","8.11588615021257"
"5e4135b8892baa162b8a6e22e7dc1df5","6.90057295041993"
"687c870855e8e70ece8c1666d95bc49e","7.99037469569054"
"7600773b11d4ab6a7ae42c0a076b0a04","6.16128683663014"
"76f8998dc5ca01b268163043a9b42dc1","5.97955246473624"
"78558a2bb35bc0234d8d370016e071ce","8.85551220664182"
"79966b7f0edea5f456c279e3c1120678","6.74764289475979"
"7b054959f8ce20f281f4b498760460ce","7.06538016889378"
"7bfcb5e330a001f9d92fdaf434f50905","7.03375549110967"
"7c89d3998a1ba786f965619132d0dd3d",NA
"8256ba1eab7a8a9f169ff689c779a36c","6.99629563733785"
"889e145a30eaf5b3342e2360d8bac2b5","8.11618705184955"
"90c8bcce6a1815efadd01022c2964f74","6.78849401563263"
"9169b70015df17b022f378de87c07ef2","7.57676492059998"
"91b171979d7b51190b67e4804637e7b3","6.92713270226871"
"91d6fddf793d9922a4c553d178993754","6.25602205086651"
"936d4f1cf4b62f8e15960fe25e83c63f","8.38095107996711"
"a2b44f1051506706923a6d2d2fd97cf9","6.26864135528117"
"a7f6d1734bc4a9e7ef3b2307653d51eb","8.15285692159306"
"ab77ab28d117d002f1c143a6f7c02d27",NA
"ae09be67e0284c4d0d732e507bfaa48a","6.24715393666262"
"ae4c400fb2ce31f1ca95df328dae6d8f","7.16218996905233"
"b0e7cfea2fcfae6fab65694715091f14","6.69828290850604"
"b1d8df376c21cb0672b3755231c33211","7.5941784887217"
"b29b97edae5f114bd702672d1cbe23ed","7.38296055917468"
"b311f4f026810a7942bc94c184425cb1","7.69130881820901"
"b39ac8cf6e03ecc8f23210245cecd980","7.33641138092103"
"b4178e369bba2d8a5b39d921b44c7ce4","7.66103694842219"
"b6323f92cbd1becd9b3322efac670ebb","7.4361305882873"
"b67347ee518934ce91693eefe0904b32","7.38059097499745"
"b78c6732f74f2bfda4cddda971d7cc68","7.77106715071232"
"bd23a17c36bb93d9087b28c18eeb2939","7.52844618326431"
"bf75c7591a4bf9e525c953fff8d5aff6","7.53434735672846"
"c1793e6b5a351c6af9b2d4c128c52dbc","7.31265329884115"
"c29cbc91791f64be86f5299df8719262","6.92735806817707"
"c7ffcfdf98eb2afc7eac37547cecc373","7.06515497181009"
"ca0fd0c041fcc9e549f644535b4094bc","7.97197475962227"
"cb603eda8afbbd5a04bafc15c38a1e2d","6.16993697624836"
"cebd0b2061d64939380dcc2df284606f","7.73221388414306"
"cf4d342dfb80192363d47a1cc899cc91","7.87746673587246"
"d72a91442eabeb8419bd11d6aee05230","7.42566181999946"
"d7348cb4360289899d5601b63b98214f","7.01236087460096"
"d7434bb656f0e1bb43c04cbd65787dbe","7.93007016859145"
"d980e6dbb4f951338654342fda6b2ed6","7.19324249983938"
"dbd27ac2dad444a3d2a92e9ec231029d","6.93882314099858"
"de5510a8e09fe0d00e38b4305d11ed54","7.8614647979689"
"e0198e7dd8549bae7a3205a0a340a427","9.10585230193679"
"e8a385595ad4db75e322068ed145eddc","7.16446532487645"
"e8b99b12629396d2f07558e311ce8c7f","7.99894045158694"
"eed18570d1378305089e05dac209257b","8.08973632612845"
"ef78c0c4706d70bd2c63818947d83ae7","6.76605040610461"
"f0884b4111615158e6ec0102900cc9a4","7.23193731875787"
"f1ba14a970970db43ac5c455e5909a91","8.509848572495"
"f27228cf155b3759e286a3ace2ccde47","6.83616557570472"
"f857bd5ce8e45ff6b6ad31d473176c8a","6.74287979039957"
"fa84e29b94c130d863f1a4ea80107cca","7.54335916720797"
